 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519286679,-83.548881144
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519287510,-83.548883218
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519288227,-83.548885210
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289047,-83.548887306
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519289694,-83.548889433
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519290761,-83.548891641
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519291822,-83.548893262
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
 31.519292780,-83.548895046
