%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1521561294755305180,74822,1521561294798797736,imu_link,-0.0791269893178,-0.0458823821315,-0.849717990433,0.515977641085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000767051754561,5.87186108265e-05,-0.000995047462695,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81182790971,-0.0700704678925,9.78954869338,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294779238763,74823,1521561294811797736,imu_link,-0.0790962771563,-0.0458327294969,-0.849359371896,0.51657800048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00080187273653,-0.000228652217955,-0.000938264945928,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81033692079,-0.0581420963476,9.7943140898,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294785282611,74824,1521561294824797736,imu_link,-0.0790452785018,-0.0460022375922,-0.848710390235,0.517641142761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00136184291863,-3.28581861437e-05,-0.000999261536554,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81680556774,-0.0471628793253,9.80291480581,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294799196418,74825,1521561294837797736,imu_link,-0.0789893294428,-0.0462209587777,-0.848044028864,0.518723186363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00180981907099,0.000123777041639,-0.00104805880978,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82198048538,-0.0383795055766,9.80979537871,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294809302931,74826,1521561294850797736,imu_link,-0.0789677269694,-0.0464703726541,-0.847510831213,0.519570099951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00184893181153,3.62398300355e-05,-0.00119351997872,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82468389991,-0.0385354106545,9.79806160139,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294827873915,74827,1521561294863797736,imu_link,-0.0789690478953,-0.0464672313914,-0.847744637788,0.519185861257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00156095419029,0.000179055455406,-0.00173557933447,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82445243215,-0.0362659338215,9.79489940248,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294833270596,74828,1521561294876797736,imu_link,-0.0789795327111,-0.0464237254962,-0.848101711472,0.518605311941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00133057208986,0.000293307957405,-0.00216922682553,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82426725795,-0.034450352328,9.79236964332,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294851421928,74829,1521561294889797736,imu_link,-0.0790038786959,-0.0464416570546,-0.848447580902,0.518034052567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000720575615377,-0.000679516738721,-0.00251614482355,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.83225940849,-0.0243787603056,9.78459975738,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294863348567,74830,1521561294902797736,imu_link,-0.0790300686992,-0.0464972091884,-0.848741360145,0.517543268895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000551846615197,-0.00103208580896,-0.0018358750386,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.8357800778,-0.0225464109864,9.79035494094,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294893403587,74831,1521561294915797736,imu_link,-0.0790586913528,-0.0465940864711,-0.848972278563,0.517151008438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000416863413041,-0.00131414106935,-0.00129165920252,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.8385966133,-0.0210805315092,9.79495908786,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294905410926,74832,1521561294946797736,imu_link,-0.0789581585147,-0.0471347587226,-0.848797913139,0.517518163775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000734567268572,-0.000688404070768,-0.000749863922462,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.83270956375,-0.0194289880285,9.80486722854,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294917452185,74833,1521561294959797736,imu_link,-0.0788781974329,-0.0473248828281,-0.848440370586,0.517984550644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000243771751242,-8.1391673462e-05,-0.000848540715535,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.83039412344,-0.0185865931057,9.80513230309,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294930645428,74834,1521561294972797736,imu_link,-0.0787785956169,-0.0475154521327,-0.848016037973,0.518677814106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000148864668473,0.000404218251619,-0.00092748215117,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82854177117,-0.0179126771574,9.80534436274,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294947319172,74835,1521561294985797736,imu_link,-0.0787246389256,-0.0474418293911,-0.848329659628,0.518178679399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000250128226964,-5.86751990505e-05,-0.00067136748647,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82035611907,-0.0183312256436,9.8012045469,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294965440509,74836,1521561294998797736,imu_link,-0.0786810716075,-0.0473337370694,-0.848729596802,0.517540596086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000331139074964,-0.000428989965104,-0.000466475751658,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81380759729,-0.0186660644376,9.79789269418,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294971307820,74837,1521561295012249592,imu_link,-0.0786271755902,-0.0472453336921,-0.849114356671,0.516924751994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039594775433,-0.000512396386665,-0.000515407570797,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81479371017,-0.0151032119552,9.80482000959,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294984066303,74838,1521561295025249592,imu_link,-0.0786710679309,-0.0472400903853,-0.849240917466,0.516709739241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000128526884446,-0.000791966920604,8.39826016048e-05,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.83234200825,-0.0251816193907,9.80030612912,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294995427740,74839,1521561295038249592,imu_link,-0.0789085103744,-0.0474464586137,-0.848682455117,0.517574787437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54098146481e-05,-0.00101562335109,0.000563494746672,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.84638064693,-0.0332443454592,9.79669502469,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295013281570,74840,1521561295051249592,imu_link,-0.0789850585922,-0.0474375691428,-0.84867707586,0.517569411426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016913161492,-0.000981703102445,0.000521414049577,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.83845795086,-0.032990761365,9.79428507636,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295025309620,74841,1521561295064249592,imu_link,-0.0789673847912,-0.0473593249064,-0.848723013788,0.517503972627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265771239218,-0.00127383490354,0.000274904281967,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82733138318,-0.0337455753395,9.79714551648,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561295049571294,74842,1521561295077249592,imu_link,-0.0788935213429,-0.0472424617007,-0.848796517569,0.517405305943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000613693527712,-0.0015075403479,7.76964649404e-05,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.8184301289,-0.0343494265281,9.7994338686,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
